min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-91.40135955810548,-0.7499899864196776,-91.3680692309425,-0.7169377366701761,X,1,134,1
-90.80142211914062,-0.7499899864196776,-90.76813179197764,-0.7169377366701761,X,1,135,1
-90.56810760498048,-0.7499899864196776,-90.5348172778175,-0.7169377366701761,X,1,136,4
-90.53478240966795,-0.7499899864196776,-90.501492082505,-0.7169377366701761,X,1,137,4
-90.50144958496094,-0.7499899864196776,-90.46815925779795,-0.7169377366701761,X,1,138,4
-90.23480987548828,-0.7499899864196776,-90.20151954832531,-0.7169377366701761,X,1,139,4
-90.20147705078124,-0.7499899864196776,-90.16818672361828,-0.7169377366701761,X,1,140,4
-89.50154876708984,-0.7499899864196776,-89.46825843992687,-0.7169377366701761,X,1,141,6
-89.46822357177734,-0.7499899864196776,-89.43493324461437,-0.7169377366701761,X,1,142,6
-89.23490905761719,-0.7499899864196776,-89.2016187304542,-0.7169377366701761,X,1,143,6
-91.40135955810548,-0.7166600227355956,-91.3680692309425,-0.6836077729860941,X,1,144,1
-91.36802673339844,-0.7166600227355956,-91.33473640623545,-0.6836077729860941,X,1,145,1
-90.83474731445312,-0.7166600227355956,-90.80145698729015,-0.6836077729860941,X,1,146,1
-90.80142211914062,-0.7166600227355956,-90.76813179197764,-0.6836077729860941,X,1,147,1
-90.56810760498048,-0.7166600227355956,-90.5348172778175,-0.6836077729860941,X,1,148,4
-90.20147705078124,-0.7166600227355956,-90.16818672361828,-0.6836077729860941,X,1,149,4
-90.16815185546876,-0.7166600227355956,-90.13486152830578,-0.6836077729860941,X,1,150,4
-89.46822357177734,-0.7166600227355956,-89.43493324461437,-0.6836077729860941,X,1,151,6
-89.43489074707031,-0.7166600227355956,-89.40160041990734,-0.6836077729860941,X,1,152,6
-89.40155792236328,-0.7166600227355956,-89.36826759520031,-0.6836077729860941,X,1,153,6
-89.30156707763672,-0.7166600227355956,-89.26827675047375,-0.6836077729860941,X,1,154,6
-89.23490905761719,-0.7166600227355956,-89.2016187304542,-0.6836077729860941,X,1,155,6
-91.36802673339844,-0.6833299994468688,-91.33473640623545,-0.6502777496973673,X,1,156,1
-91.33470153808594,-0.6833299994468688,-91.30141121092295,-0.6502777496973673,X,1,157,1
-91.3013687133789,-0.6833299994468688,-91.26807838621592,-0.6502777496973673,X,1,158,1
-91.2680435180664,-0.6833299994468688,-91.23475319090343,-0.6502777496973673,X,1,159,1
-91.20137786865234,-0.6833299994468688,-91.16808754148936,-0.6502777496973673,X,1,160,1
-91.16805267333984,-0.6833299994468688,-91.13476234617687,-0.6502777496973673,X,1,161,1
-90.86808013916016,-0.6833299994468688,-90.83478981199718,-0.6502777496973673,X,1,162,1
